city,Date,PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI,AQI_Bucket
Sri Vijaya Puram,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,14.0,14.0,Good
Sri Vijaya Puram,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,14.0,14.0,Good
Sri Vijaya Puram,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,26.0,16.723642172523963,27.34380165289256,26.0,Good
Sri Vijaya Puram,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,26.0,16.723642172523963,27.34380165289256,26.0,Good
Sri Vijaya Puram,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,24.0,16.723642172523963,27.34380165289256,24.0,Good
Amaravati,2026-08-02,109.33222591362126,117.8202614379085,29.76982892690513,6.0,45.2015873015873,16.723642172523963,27.34380165289256,6.0,Good
Amaravati,2026-09-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,15.0,27.34380165289256,15.0,Good
Amaravati,2026-09-02,109.33222591362126,117.8202614379085,31.0,6.0,45.2015873015873,16.723642172523963,27.34380165289256,31.0,Good
Amaravati,2026-09-02,109.33222591362126,112.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,112.0,Moderate
Amaravati,2026-09-02,109.33222591362126,110.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,110.0,Moderate
Amaravati,2026-09-02,109.33222591362126,110.0,30.0,5.906194690265487,44.0,14.0,27.34380165289256,110.0,Moderate
Amaravati,2026-09-02,80.0,117.8202614379085,30.0,5.906194690265487,45.2015873015873,14.0,27.34380165289256,80.0,Satisfactory
Amaravati,2026-10-02,109.33222591362126,112.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,112.0,Moderate
Amaravati,2026-10-02,109.33222591362126,117.8202614379085,31.0,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,31.0,Good
Amaravati,2026-10-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,48.0,16.723642172523963,27.34380165289256,48.0,Good
Amaravati,2026-10-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,57.0,16.723642172523963,9.0,57.0,Satisfactory
Amaravati,2026-10-02,109.33222591362126,117.8202614379085,32.0,5.906194690265487,45.2015873015873,16.723642172523963,22.0,32.0,Good
Amaravati,2026-10-02,100.0,117.8202614379085,29.76982892690513,7.0,45.2015873015873,15.0,27.34380165289256,100.0,Satisfactory
Amaravati,2026-10-02,98.0,117.8202614379085,29.76982892690513,6.0,32.0,16.723642172523963,27.34380165289256,98.0,Satisfactory
Amaravati,2026-10-02,109.33222591362126,117.8202614379085,31.0,6.0,45.2015873015873,16.723642172523963,27.34380165289256,31.0,Good
Amaravati,2026-10-02,109.33222591362126,121.0,31.0,6.0,45.2015873015873,16.723642172523963,27.34380165289256,121.0,Moderate
Amaravati,2026-11-02,109.33222591362126,117.8202614379085,29.0,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,29.0,Good
Amaravati,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,28.0,16.723642172523963,27.34380165289256,28.0,Good
Amaravati,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,6.0,43.0,16.723642172523963,14.0,43.0,Good
Amaravati,2026-11-02,109.33222591362126,117.8202614379085,34.0,6.0,45.2015873015873,16.723642172523963,32.0,34.0,Good
Amaravati,2026-11-02,83.0,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,83.0,Satisfactory
Amaravati,2026-11-02,109.33222591362126,122.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,122.0,Moderate
Amaravati,2026-11-02,109.33222591362126,122.0,34.0,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,122.0,Moderate
Amaravati,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,47.0,16.723642172523963,27.34380165289256,47.0,Good
Amaravati,2026-11-02,109.33222591362126,117.8202614379085,35.0,5.0,41.0,16.723642172523963,57.0,57.0,Satisfactory
Amaravati,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.0,45.2015873015873,16.723642172523963,27.34380165289256,5.0,Good
Amaravati,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.0,45.2015873015873,16.723642172523963,27.34380165289256,5.0,Good
Amaravati,2026-12-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,42.0,42.0,Good
Amaravati,2026-12-02,88.0,117.8202614379085,38.0,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,88.0,Satisfactory
Amaravati,2026-12-02,109.33222591362126,129.0,29.76982892690513,5.906194690265487,45.2015873015873,18.0,24.0,129.0,Moderate
Amaravati,2026-12-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,17.0,27.34380165289256,17.0,Good
Amaravati,2026-12-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,22.0,16.723642172523963,6.0,22.0,Good
Amaravati,2026-12-02,109.33222591362126,117.8202614379085,29.76982892690513,5.0,18.0,17.0,16.0,18.0,Good
Amaravati,2026-12-02,109.33222591362126,132.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,132.0,Moderate
Amaravati,2026-12-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,17.0,27.34380165289256,17.0,Good
Amaravati,2026-12-02,109.33222591362126,117.8202614379085,41.0,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,41.0,Good
Amaravati,2026-12-02,109.33222591362126,131.0,29.76982892690513,5.906194690265487,7.0,16.723642172523963,27.34380165289256,131.0,Moderate
Amaravati,2026-12-02,109.33222591362126,132.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,132.0,Moderate
Amaravati,2026-12-02,109.33222591362126,132.0,29.76982892690513,5.0,16.0,16.723642172523963,27.34380165289256,132.0,Moderate
Amaravati,2026-12-02,109.33222591362126,117.8202614379085,29.76982892690513,5.0,45.2015873015873,16.723642172523963,58.0,58.0,Satisfactory
Anantapur,2026-09-02,109.33222591362126,117.8202614379085,29.76982892690513,5.0,45.2015873015873,16.723642172523963,27.34380165289256,5.0,Good
Anantapur,2026-09-02,109.33222591362126,94.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,94.0,Satisfactory
Anantapur,2026-09-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,12.0,17.0,17.0,Good
Anantapur,2026-09-02,99.0,117.8202614379085,29.76982892690513,5.906194690265487,34.0,12.0,27.34380165289256,99.0,Satisfactory
Anantapur,2026-09-02,109.33222591362126,117.8202614379085,21.0,5.906194690265487,34.0,16.723642172523963,17.0,34.0,Good
Anantapur,2026-10-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,12.0,17.0,17.0,Good
Anantapur,2026-10-02,92.0,117.8202614379085,21.0,5.906194690265487,45.2015873015873,12.0,17.0,92.0,Satisfactory
Anantapur,2026-10-02,109.33222591362126,117.8202614379085,21.0,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,21.0,Good
Anantapur,2026-10-02,109.33222591362126,117.8202614379085,29.76982892690513,4.0,29.0,16.723642172523963,27.34380165289256,29.0,Good
Anantapur,2026-10-02,109.33222591362126,85.0,29.76982892690513,4.0,45.2015873015873,16.723642172523963,27.34380165289256,85.0,Satisfactory
Anantapur,2026-10-02,86.0,117.8202614379085,22.0,5.906194690265487,45.2015873015873,12.0,17.0,86.0,Satisfactory
Anantapur,2026-10-02,109.33222591362126,82.0,29.76982892690513,5.906194690265487,27.0,16.723642172523963,27.34380165289256,82.0,Satisfactory
Anantapur,2026-10-02,109.33222591362126,82.0,29.76982892690513,4.0,26.0,16.723642172523963,17.0,82.0,Satisfactory
Anantapur,2026-10-02,109.33222591362126,117.8202614379085,22.0,4.0,45.2015873015873,12.0,17.0,22.0,Good
Anantapur,2026-10-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,17.0,17.0,Good
Anantapur,2026-11-02,109.33222591362126,82.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,82.0,Satisfactory
Anantapur,2026-11-02,109.33222591362126,82.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,82.0,Satisfactory
Anantapur,2026-11-02,83.0,117.8202614379085,29.76982892690513,4.0,45.2015873015873,16.723642172523963,17.0,83.0,Satisfactory
Anantapur,2026-11-02,109.33222591362126,117.8202614379085,22.0,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,22.0,Good
Anantapur,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,4.0,45.2015873015873,12.0,27.34380165289256,12.0,Good
Anantapur,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,4.0,45.2015873015873,16.723642172523963,27.34380165289256,4.0,Good
Anantapur,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,18.0,16.723642172523963,27.34380165289256,18.0,Good
Anantapur,2026-11-02,109.33222591362126,117.8202614379085,20.0,5.906194690265487,45.2015873015873,11.0,27.34380165289256,20.0,Good
Anantapur,2026-11-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,19.0,16.723642172523963,17.0,19.0,Good
Anantapur,2026-11-02,109.33222591362126,79.0,29.76982892690513,5.906194690265487,45.2015873015873,10.0,27.34380165289256,79.0,Satisfactory
Anantapur,2026-12-02,109.33222591362126,117.8202614379085,29.76982892690513,4.0,45.2015873015873,16.723642172523963,17.0,17.0,Good
Anantapur,2026-12-02,109.33222591362126,78.0,29.76982892690513,4.0,45.2015873015873,16.723642172523963,27.34380165289256,78.0,Satisfactory
Anantapur,2026-12-02,80.0,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,80.0,Satisfactory
Anantapur,2026-12-02,109.33222591362126,78.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,78.0,Satisfactory
Anantapur,2026-12-02,109.33222591362126,117.8202614379085,17.0,5.906194690265487,22.0,16.723642172523963,27.34380165289256,22.0,Good
Anantapur,2026-12-02,109.33222591362126,117.8202614379085,17.0,4.0,45.2015873015873,10.0,27.34380165289256,17.0,Good
Anantapur,2026-12-02,109.33222591362126,117.8202614379085,18.0,5.906194690265487,45.2015873015873,16.723642172523963,17.0,18.0,Good
Anantapur,2026-12-02,109.33222591362126,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,10.0,27.34380165289256,10.0,Good
Anantapur,2026-12-02,109.33222591362126,117.8202614379085,29.76982892690513,4.0,45.2015873015873,16.723642172523963,27.34380165289256,4.0,Good
Anantapur,2026-12-02,109.33222591362126,74.0,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,17.0,74.0,Satisfactory
Chittoor,2026-09-02,109.33222591362126,117.8202614379085,29.76982892690513,6.0,45.2015873015873,16.723642172523963,27.34380165289256,6.0,Good
Chittoor,2026-09-02,71.0,117.8202614379085,29.76982892690513,5.906194690265487,45.2015873015873,16.723642172523963,27.34380165289256,71.0,Satisfactory
