state,city,station,Date,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,AQI,AQI_Bucket
Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2026-11-02 13:00:00,45.2015873015873,5.906194690265487,29.76982892690513,14.0,117.8202614379085,109.33222591362126,16.723642172523963,14.0,Good
Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2026-11-02 15:00:00,45.2015873015873,5.906194690265487,29.76982892690513,14.0,117.8202614379085,109.33222591362126,16.723642172523963,14.0,Good
Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2026-11-02 19:00:00,26.0,5.906194690265487,29.76982892690513,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,26.0,Good
Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2026-11-02 20:00:00,26.0,5.906194690265487,29.76982892690513,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,26.0,Good
Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2026-11-02 22:00:00,24.0,5.906194690265487,29.76982892690513,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,24.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-08-02 17:00:00,45.2015873015873,6.0,29.76982892690513,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,6.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-09-02 17:00:00,45.2015873015873,5.906194690265487,29.76982892690513,27.343801652892562,117.8202614379085,109.33222591362126,15.0,15.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-09-02 18:00:00,45.2015873015873,6.0,31.0,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,31.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-09-02 19:00:00,45.2015873015873,5.906194690265487,29.76982892690513,27.343801652892562,112.0,109.33222591362126,16.723642172523963,112.0,Moderate
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-09-02 20:00:00,45.2015873015873,5.906194690265487,29.76982892690513,27.343801652892562,110.0,109.33222591362126,16.723642172523963,110.0,Moderate
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-09-02 21:00:00,44.0,5.906194690265487,30.0,27.343801652892562,110.0,109.33222591362126,14.0,110.0,Moderate
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-09-02 23:00:00,45.2015873015873,5.906194690265487,30.0,27.343801652892562,117.8202614379085,80.0,14.0,80.0,Satisfactory
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-10-02 01:00:00,45.2015873015873,5.906194690265487,29.76982892690513,27.343801652892562,112.0,109.33222591362126,16.723642172523963,112.0,Moderate
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-10-02 02:00:00,45.2015873015873,5.906194690265487,31.0,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,31.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-10-02 07:00:00,48.0,5.906194690265487,29.76982892690513,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,48.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-10-02 09:00:00,57.0,5.906194690265487,29.76982892690513,9.0,117.8202614379085,109.33222591362126,16.723642172523963,57.0,Satisfactory
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-10-02 13:00:00,45.2015873015873,5.906194690265487,32.0,22.0,117.8202614379085,109.33222591362126,16.723642172523963,32.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-10-02 16:00:00,45.2015873015873,7.0,29.76982892690513,27.343801652892562,117.8202614379085,100.0,15.0,100.0,Satisfactory
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-10-02 19:00:00,32.0,6.0,29.76982892690513,27.343801652892562,117.8202614379085,98.0,16.723642172523963,98.0,Satisfactory
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-10-02 21:00:00,45.2015873015873,6.0,31.0,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,31.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-10-02 23:00:00,45.2015873015873,6.0,31.0,27.343801652892562,121.0,109.33222591362126,16.723642172523963,121.0,Moderate
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-11-02 03:00:00,45.2015873015873,5.906194690265487,29.0,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,29.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-11-02 04:00:00,28.0,5.906194690265487,29.76982892690513,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,28.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-11-02 09:00:00,43.0,6.0,29.76982892690513,14.0,117.8202614379085,109.33222591362126,16.723642172523963,43.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-11-02 13:00:00,45.2015873015873,6.0,34.0,32.0,117.8202614379085,109.33222591362126,16.723642172523963,34.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-11-02 15:00:00,45.2015873015873,5.906194690265487,29.76982892690513,27.343801652892562,117.8202614379085,83.0,16.723642172523963,83.0,Satisfactory
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-11-02 16:00:00,45.2015873015873,5.906194690265487,29.76982892690513,27.343801652892562,122.0,109.33222591362126,16.723642172523963,122.0,Moderate
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-11-02 18:00:00,45.2015873015873,5.906194690265487,34.0,27.343801652892562,122.0,109.33222591362126,16.723642172523963,122.0,Moderate
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-11-02 19:00:00,47.0,5.906194690265487,29.76982892690513,27.343801652892562,117.8202614379085,109.33222591362126,16.723642172523963,47.0,Good
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2026-11-02 20:00:00,41.0,5.0,35.0,57.0,117.8202614379085,109.33222591362126,16.723642172523963,57.0,Satisfactory
